epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.045,2.88571,4.35839,4.17605,0.01338,0.80137,0.10783,0.038,2.80433,4.05502,4.11616,0.00045728,0.00045728,0.00045728
2,306.267,2.50796,3.6113,3.69429,0.01617,0.80822,0.04941,0.0198,2.66128,3.91431,3.85543,0.000836894,0.000836894,0.000836894
3,455.445,1.88812,2.93263,2.96925,0.01854,0.80822,0.07069,0.01839,2.69869,4.02153,3.77691,0.00112314,0.00112314,0.00112314
4,605.635,1.4355,2.29863,2.30766,0.74169,0.76027,0.67259,0.46914,1.32601,2.57623,2.01586,0.00100459,0.00100459,0.00100459
5,752.069,1.15366,1.93225,2.01567,0.93374,0.77224,0.86713,0.68415,0.96178,1.90253,1.67235,0.000863116,0.000863116,0.000863116
6,898.966,0.97858,1.59051,1.78388,0.85466,0.78767,0.88361,0.7611,0.82674,1.63376,1.44622,0.000721645,0.000721645,0.000721645
7,1046.41,0.85313,1.34384,1.625,0.968,0.81507,0.93705,0.80781,0.7465,1.17141,1.34312,0.000580174,0.000580174,0.000580174
8,1193.88,0.70154,1.14898,1.44605,0.96331,0.89928,0.95483,0.84352,0.67531,1.11411,1.25577,0.000438703,0.000438703,0.000438703
9,1341.25,0.59547,1.01772,1.33853,0.96247,0.87838,0.95384,0.85889,0.58709,0.98417,1.22826,0.000297232,0.000297232,0.000297232
10,1488.57,0.55442,0.95942,1.3252,0.95681,0.91044,0.96094,0.89461,0.50199,0.88478,1.12398,0.000155761,0.000155761,0.000155761
